CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	volume	number	school	note	url
book	abdullaev1950	Абдуллаев, Сайгид Н.	Даргинско-русский словарь [Russian-Dargwa dictionary]	1950	Институт истории, языка и литературы им. Г. Цадасы	Махачкала	NA		Сулейманов Х. Ш.	NA	NA	NA	NA	NA	NA
book	abdullaev1954	Абдуллаев, Сайгид Н.	Грамматика даргинского языка [Dargwa grammar]	1954	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	abdullaevaetal2014	Абдуллаева, Айшат З. and Гаджиахмедов, Нурмагомед Э. and Кадыраджиев, Калсын С. and Керимов, Ибрагим А. and Ольмесов, Нурмагомед Х. and Хангишиев, Джангиши М.	Современный кумыкский язык [Contemporary Kumyk]	2014	ИЯЛИ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
misc	abdulmutalibov2005	Абдулмуталибов Н.Ш.	Русско-лезгинский разговорник [Russian-Lezgian phrasebook]	2005	NA	Махачкала	NA		NA	NA	NA	NA	NA	Accessed: 2021-12-17	NA
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994	Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2	Smeets, Riek	NA	NA	NA	NA	NA	NA
incollection	alekseev1998	Алексеев, Михаил Е.	Андийский язык [Andi]	1998	Academia	Москва	221--228	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	Алексеев, Михаил Е. and др.	NA	NA	NA	NA	NA	NA
incollection	alekseyev2016rutul	Alekseyev, Mikhail	Rutul	2016	De Gruyter Mouton	Berlin/Boston	3536--3545	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
book	alekseevataev1997	Алексеев, Михаил Егорович and Атаев, Борис Махаевич	Аварский язык [Avar language]	1997	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal1998	Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.	Языки мира. Кавказские языки [Languages of the world. Caucasian languages]	1998	Academia	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2008	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.	Удинский сборник: Грамматика. Лексика. История языка [Udi. Grammar. Lexicon. History of the language]	2008	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevetal2012	Алексеев, Михаил Е. and Атаев, Борис Махаевич and Магомедов, Магомед Абдулкадирович and Магомедов, Магомед Ибрагимович and Мадиева, Гюльжаган Исмаиловна and Саидова, Патимат Абдулаевна and Самедов, Джалиль Самедович	Современный аварский язык [Contemporary Avar language]	2012	Aleph	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	alekseevshixalieva2003	Алексеев, Михаил Е. and Шихалиева, Сабрина Х.	Табасаранский язык [Tabasaran]	2003	Академия	Москва	NA		NA	NA	NA	NA	NA	NA	NA
incollection	alekseyev2016	Alekseyev, Mikhail	Botlikh	2016	De Gruyter Mouton	Berlin/Boston	3678--3685	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
unpublished	alexeyevverheesdraft2020	Alexeyev, Mikhail and Verhees, Samira	Botlikh	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
phdthesis	alisultanova2009	Алисултанова, Меседу А.	Лексика андийского языка	2009	NA	Махачкала	NA		NA	NA	NA	NA	Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы	NA	NA
book	alisultanovsulejmanova2019	Алисултанов, Алисултан С. and Сулейманова, Таисия А.	Рутульско-русский словарь [Rutul-Russian dictionary]	2019	АЛЕФ	Махачкала	NA		NA	NA	NA	NA	NA	NA	NA
book	authier2009	Authier, Gilles	Grammaire kryz	2009	Peeters	Paris	NA		NA	NA	NA	NA	NA	NA	NA
article	authier2010	Authier, Gilles	Azeri morphology in Kryz (East Caucasian)	2010	NA	NA	14--42		NA	Turkic Languages	14	NA	NA	NA	NA
book	authier2012	Authier, Gilles	Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est	2012	Dr. Ludwig Reichert Verlag Wiesbaden	Wiesbaden	NA		NA	NA	NA	NA	NA	NA	NA
unpublished	authierdraft2020	Authier, Gilles	Tindi	2020	De Gruyter Mouton	Berlin/New York	NA	The Caucasian Languages. An International Handbook	Koryakov, Yuri and Maisak, Timur	NA	NA	NA	NA	NA	NA
incollection	authierhaciyev2016	Authier, Gilles and Adigözel Haciyev	Budugh	2016	De Gruyter Mouton	Berlin/Boston	3546--3563	Word-Formation. An International Handbook of the Languages of Europe. Volume 5	Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz	NA	NA	NA	NA	NA	NA
phdthesis	azaev1974	Азаев, Халил Г.	Лексика и словообразование ботлихского языка [Lexicon and word formation in Botlikh]	1974	NA	Махачкала	NA		NA	NA	NA	NA	Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы	NA	NA
incollection	azaev2000	Азаев, Халил Г.	Ботлихский язык [Botlikh]	2000	Восток	Москва/Махачкала	346--359	Языки Дагестана [Languages of Daghestan]	Гамзатов, Гаджи Г.	NA	NA	NA	NA	NA	NA
phdthesis	babaliyeva2013	Babaliyeva, Ayten	Études sur la morphosyntaxe du tabasaran littéraire	2013	NA	NA	NA		NA	NA	NA	NA	École Pratique des Hautes Études	NA	NA
